Jour ID,Journal Name,ISSN,Cites,IF,5-IF,ii,articles ,half-life,eigenfactor,art-i,rank,rank ID,Number
1,Zeitschrift fur Analysis und Ihre Anwendungen,0232-2064,292,0.641,0.683,0.121,33,5.5,0.00274,0.491,B,2,0.7
2,Transformation Groups,1083-4362,215,0.723,0.713,0.056,36,7.8,0.00211,0.9,A,3,0.9
3,Transactions of the American Mathematical Society,Feb-47,8110,0.824,0.961,0.338,263,10,0.03019,1.185,A,3,0.9
4,Topology and its Applications,0166-8641,1114,0.48,0.428,0.107,298,7.1,0.00792,0.31,B,2,0.7
5,--,0040-9383,1549,0.693,0.739,0.217,23,10,0.00677,1.133,A,3,0.9
6,Tohoku Mathematical Journal,0040-8735,517,0.446,0.563,0,22,10,0.00221,0.595,A,3,0.9
7,Taiwanese Journal of Mathematics,1027-5487,260,0.444,0.512,0.009,109,5,0.00254,0.362,B,2,0.7
8,Studia Mathematica,0039-3223,1542,0.568,0.673,0.08,100,10,0.00833,0.699,A,3,0.9
9,Siberian Mathematical Journal,0037-4466,702,0.208,0.217,0.097,113,10,0.00268,0.214,C,1,0.3
10,SIAM Journal on Mathematical Analysis,0036-1410,2877,1.119,1.479,0.404,57,10,0.01284,1.29,A*,4,1
11,SIAM Journal on Discrete Mathematics,0895-4801,959,0.674,0.849,0.051,78,10,0.00672,0.858,A*,4,1
12,Set-Valued Analysis,0927-6947,342,0.675,0.929,0.045,22,9.3,0.00191,0.831,A,3,0.9
13,Semigroup Forum,0037-1912,379,0.301,0.412,0.054,74,9.5,0.00256,0.347,B,2,0.7
14,Science in China Series A-Mathematics,1006-9283,920,0.371,0.423,0.057,158,9,0.00483,0.302,B,2,0.7
15,Sbornik Mathematics,1064-5616,1722,0.359,0.414,0.111,81,10,0.00414,0.446,B,2,0.7
16,Russian Mathematical Surveys,0036-0279,1864,0.309,0.417,0.098,61,10,0.00451,0.445,B,2,0.7
17,Rocky Mountain Journal of Mathematics,0035-7596,637,0.267,0.316,0.061,114,10,0.00338,0.293,B,2,0.7
18,Revista Matematica Iberoamericana,0213-2230,578,0.886,1.081,0.222,27,9.5,0.00487,1.211,A,3,0.9
19,Ramanujan Journal,1382-4090,139,0.435,0.425,0.306,49,4.7,0.00169,0.455,B,2,0.7
20,Quarterly Journal of Mathematics,0033-5606,864,0.612,0.902,0.03,33,10,0.00389,0.962,A,3,0.9
21,Publications of the Research Institute for Mathematical Sciences,0034-5318,597,0.566,0.571,0.041,49,10,0.00284,0.671,B,2,0.7
22,Publicationes Mathematicae-Debrecen,0033-3883,424,0.292,0.318,0.079,63,10,0.0023,0.267,C,1,0.3
23,Publicacions Matematiques,0214-1493,160,0.562,0.567,0.125,16,6.4,0.00218,0.74,B,2,0.7
24,Proceedings of the London Mathematical Society,0024-6115,2454,1.221,1.176,0.16,50,10,0.00992,1.563,A*,4,1
25,Proceedings of the Japan Academy Series a-Mathematical Sciences,0386-2194,234,0.238,0.3,0.051,39,10,0.00125,0.244,B,2,0.7
26,Proceedings of the Edinburgh Mathematical Society,0013-0915,424,0.529,0.531,0.152,46,10,0.00289,0.519,B,2,0.7
27,Proceedings of the American Mathematical Society,Feb-39,6899,0.52,0.611,0.154,475,10,0.03301,0.675,B,2,0.7
28,Potential Analysis,0926-2601,343,0.507,0.683,0.179,39,7.8,0.00332,0.768,A,3,0.9
29,Positivity,1385-1292,123,0.356,0.374,0.062,48,5.4,0.00119,0.294,B,2,0.7
30,Pacific Journal of Mathematics,0030-8730,2679,0.443,0.509,0.134,112,10,0.00793,0.634,A,3,0.9
31,Osaka Journal of Mathematics,0030-6126,528,0.367,0.439,0.038,52,10,0.00254,0.429,A,3,0.9
32,Order-A Journal On the Theory of Ordered Sets and Its Applications,0167-8094,135,0.288,0.347,0,19,9.8,0.00134,0.477,B,2,0.7
33,Numerical Linear Algebra with Applications,1070-5325,633,0.696,0.987,0.182,44,7.9,0.00418,0.758,B,2,0.7
34,Nonlinear Analysis-Theory Methods & Applications,0362-546X,4729,1.097,1.079,0.154,486,7.8,0.02393,0.664,B,2,0.7
35,NoDEA-Nonlinear Differential Equations and Applications,1021-9722,171,0.275,0.709,0,52,5.8,0.00173,0.586,A,3,0.9
36,Nagoya Mathematical Journal,0027-7630,581,0.725,0.609,0.156,32,10,0.00271,0.771,A,3,0.9
37,Monatshefte fur Mathematik,0026-9255,589,0.382,0.545,0.068,74,10,0.00459,0.587,B,2,0.7
38,Michigan Mathematical Journal,0026-2285,698,0.494,0.571,0.083,36,10,0.00387,0.85,A,3,0.9
39,Memoirs of the American Mathematical Society,0065-9266,1491,1.981,1.794,0.5,22,10,0.00763,2.413,A*,4,1
40,Mathematische Zeitschrift,0025-5874,3019,0.68,0.756,0.122,139,10,0.01537,0.974,A,3,0.9
41,Mathematische Nachrichten,0025-584X,1192,0.415,0.569,0.155,129,10,0.00688,0.502,B,2,0.7
42,Mathematische Annalen,0025-5831,4089,0.877,0.925,0.198,111,10,0.0165,1.324,A*,4,1
43,Mathematical Research Letters,1073-2780,732,0.702,0.834,0.034,87,7.2,0.00999,1.19,A,3,0.9
